Fleet_segment;Species;Year;Variable;Value;Unit;Comments
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2016;landing.weight;946.18;kg;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2017;landing.weight;900358.92;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2017;landing.weight;96716.32;kg;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2017;landing.weight;328748.05;kg;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2017;landing.weight;404641.79;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2017;landing.weight;64549.44;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2017;landing.weight;74917.05;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2017;landing.weight;5800.74;kg;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2018;landing.weight;922495.01;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2018;landing.weight;57847.36;kg;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2018;landing.weight;603231.91;kg;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2018;landing.weight;772744.87;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2018;landing.weight;251944.7514;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2018;landing.weight;74606.11;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2018;landing.weight;29355.88;kg;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2019;landing.weight;724147.9071;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2019;landing.weight;212464.0236;kg;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2019;landing.weight;511636.1751;kg;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2019;landing.weight;887710.7982;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2019;landing.weight;28014;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2019;landing.weight;31825.4;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2019;landing.weight;17232.63931;kg;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2020;landing.weight;450872;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2020;landing.weight;24821;kg;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2020;landing.weight;223510;kg;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2020;landing.weight;695366;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2020;landing.weight;25299.83963;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARS181920;2020;landing.weight;31871;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;ARA181920;2020;landing.weight;5107;kg;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2013;revenues.landing;9088955.02;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2014;landing.weight;2082.1308;kg;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2013;revenues.landing;3864743.02;€;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2013;revenues.landing;3150100.04;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2013;revenues.landing;85380.86635;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;DPS171819;2014;revenues.landing;42414.62;€;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2014;revenues.landing;6128589.24;€;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2014;revenues.landing;3339105.33;€;NA
ITA_18_DTS_1218_OTB_DES;DPS171819;2014;revenues.landing;2015532.21;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2014;landing.weight;5539.3409;kg;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2014;revenues.landing;39122.72;€;NA
ITA_18_DTS_1218_OTB_DES;HKE1718;2015;revenues.landing;6848876.8;€;NA
ITA_18_DTS_1218_OTB_DWS_MDD;HKE1718;2015;revenues.landing;68604.78;€;NA
ITA_18_DTS_1218_OTB_DES;MUT1718;2015;revenues.landing;6266659.92;€;NA
