"epsilon";"FS";"SPECIES";"MODEL";"RMSE"
NA;"HRV_17_DFN_0612";"HKE1718";3;0.0293785717487727
NA;"HRV_17_DTS_0612";"HKE1718";3;0.148557631892166
NA;"HRV_17_DTS_1218";"HKE1718";3;0
NA;"HRV_17_DTS_1840";"HKE1718";3;0
7.06884476490438e-05;"ITA_17_DTS_0612";"HKE1718";3;97.5173236463636
NA;"ITA_17_DTS_1218";"HKE1718";3;0
NA;"ITA_17_DTS_1840";"HKE1718";3;0
-8.32622854254014e-05;"ITA_17_PGP_0012";"HKE1718";3;20.9070666900247
6.17684238449709e-06;"ITA_18_DTS_0612";"HKE1718";3;9.32471373225417
NA;"ITA_18_DTS_1218_OTB_DES";"HKE1718";3;0
NA;"ITA_18_DTS_1840_OTB_DES";"HKE1718";3;0
3.3482438083854e-06;"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";3;1.18253349824525
NA;"ITA_18_HOK_1218";"HKE1718";3;0
-0.000129118258967636;"ITA_18_PGP_0012";"HKE1718";3;30.2100479739869
-0.000242678124242753;"SVN_17_DTS_1218";"HKE1718";3;1.49962738243976
-6.01535839721274e-07;"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";3;1.71353827104556
