"Fleet_segment";"Species";"Year";"Revenues";"Landing";"price";"price_Mod1";"price_Mod2";"price_Mod3";"price_Mod4";"price_Mod5"
"HRV_17_DFN_0612";"HKE1718";2013;361196.9157;122000;2.96063045655738;NA;NA;NA;3.42920796624768;2.96063045655738
"HRV_17_DFN_0612";"HKE1718";2014;418159.1386;118000;3.54372151355932;2.97977830894507;2.97605073009448;NA;3.42920796624768;3.08796313086517
"HRV_17_DFN_0612";"HKE1718";2015;391623.9713;114000;3.43529799385965;3.56744467746436;3.56281707709481;NA;3.42920796624768;3.2254532424856
"HRV_17_DFN_0612";"HKE1718";2016;578728.7666;163000;3.55048323067485;3.2382687114193;3.24912325647451;NA;3.42920796624768;2.05325435655944
"HRV_17_DFN_0612";"HKE1718";2017;522136.9055;139000;3.75638061510791;3.6674444242398;3.63971094307898;NA;3.42920796624768;2.51084285992595
"HRV_17_DFN_0612";"HKE1718";2018;677331.1906;171000;3.96100111461988;3.62226438326004;3.63703519102108;NA;3.42920796624768;1.9326719424451
"HRV_17_DFN_0612";"HKE1718";2019;656652.1905;193000;3.40234295595855;3.8748564824929;3.88699675287508;NA;3.42920796624768;1.65868756105822
"HRV_17_DFN_0612";"HKE1718";2020;774923.1575;267000;2.90233392322097;3.22243248890476;3.23454177166124;NA;3.42920796624768;1.10081985370433
"HRV_17_DTS_0612";"HKE1718";2013;482747.2302;137893.54;3.50086907769573;NA;NA;NA;3.75009769722662;3.50086907769573
"HRV_17_DTS_0612";"HKE1718";2014;533723.0488;146242.88;3.64956604246306;3.50631760506403;3.50599737742497;NA;3.75009769722662;3.30230336414082
"HRV_17_DTS_0612";"HKE1718";2015;427422.5694;113152.02;3.77741881585499;3.62047141361972;3.62632778691935;NA;3.75009769722662;4.26068286625727
"HRV_17_DTS_0612";"HKE1718";2016;363456.25;98826.31;3.67772762131866;3.7624920896693;3.76470780980133;NA;3.75009769722662;4.87386045287997
"HRV_17_DTS_0612";"HKE1718";2017;545112.5054;138306.9095;3.94132518303433;3.70634601638513;3.70863631672328;NA;3.75009769722662;3.49047608414742
"HRV_17_DTS_0612";"HKE1718";2018;551730.4841;137091.9901;4.02452749936409;3.9403730371252;3.94045939418189;NA;3.75009769722662;3.52119974727165
"HRV_17_DTS_0612";"HKE1718";2019;606665.5701;159509.1457;3.80332781194251;4.03994577012326;4.03973297741756;NA;3.75009769722662;3.02942377082405
"HRV_17_DTS_0612";"HKE1718";2020;652591.917;177690;3.67264290055715;3.81393599266398;3.81356371230592;NA;3.75009769722662;2.72143691619179
"HRV_17_DTS_1218";"HKE1718";2013;1460853.816;417283.19;3.50086907646579;NA;NA;NA;3.69179797183881;3.50086907646579
"HRV_17_DTS_1218";"HKE1718";2014;1217874.823;333704.01;3.64956604207423;3.66339897221006;3.65135492242439;NA;3.69179797183881;4.23853292049872
"HRV_17_DTS_1218";"HKE1718";2015;1039464.633;275178.55;3.77741881770945;3.79344331305969;3.78451959652546;NA;3.69179797183881;4.9987129381351
"HRV_17_DTS_1218";"HKE1718";2016;883365.1765;240193.2;3.67772766464663;3.87940500615672;3.87538615293321;NA;3.69179797183881;5.61534978854436
"HRV_17_DTS_1218";"HKE1718";2017;1260091.675;319712.6897;3.94132518225159;3.50817134411044;3.48492040765559;NA;3.69179797183881;4.39671755765203
"HRV_17_DTS_1218";"HKE1718";2018;1336189.607;332969.3766;4.0129504420017;3.91223853386523;3.91128825710628;NA;3.69179797183881;4.24653155471791
"HRV_17_DTS_1218";"HKE1718";2019;1460102.954;443086.9717;3.29529651571112;3.82808648671964;3.80275765979135;NA;3.69179797183881;3.32570743690686
"HRV_17_DTS_1218";"HKE1718";2020;1441240.724;392433;3.67257780054175;3.37413952440629;3.37149349966396;NA;3.69179797183881;3.68966727401508
"HRV_17_DTS_1840";"HKE1718";2013;1589315.687;453977.47;3.50086907837078;NA;NA;NA;3.87192712521947;3.50086907837078
"HRV_17_DTS_1840";"HKE1718";2014;1068582.573;292797.16;3.64956604428814;3.52922680587703;NA;NA;3.87192712521947;5.02027384812135
"HRV_17_DTS_1840";"HKE1718";2015;1001192.429;265046.71;3.7774188142158;3.65518867121289;NA;NA;3.87192712521947;5.44843101421935
"HRV_17_DTS_1840";"HKE1718";2016;905024.923;246082.64;3.67772762434603;3.78170228826277;NA;NA;3.87192712521947;5.79124276997352
"HRV_17_DTS_1840";"HKE1718";2017;1269335.652;322058.0878;3.94132518351244;3.66496120667778;NA;NA;3.87192712521947;4.64222519111041
"HRV_17_DTS_1840";"HKE1718";2018;1361881.575;339371.641;4.01295043683394;3.93836646700993;NA;NA;3.87192712521947;4.44666426046534
"HRV_17_DTS_1840";"HKE1718";2019;1613715.172;340403.8825;4.74058979629881;4.01277137582187;NA;NA;3.87192712521947;4.43557825417046
"HRV_17_DTS_1840";"HKE1718";2020;1315485.614;358190;3.67259168039309;4.73712601465877;NA;NA;3.87192712521947;4.25373020950726
"ITA_17_DTS_0612";"HKE1718";2013;127876.04;20594.75;6.20915718811833;NA;NA;21.8087196756224;18.3344961173362;6.20915718811833
"ITA_17_DTS_0612";"HKE1718";2014;41171.1;11316.95;3.6380031722328;9.13732750950817;8.44331994449486;11.3189305660037;18.3344961173362;9.00733211421574
