"epsilon";"FS";"SPECIES";"MODEL";"RMSE"
-0.190791;"HRV_17_DFN_0612";"HKE1718";1;1.51056783523112
0.02726;"HRV_17_DTS_0612";"HKE1718";1;1.75786008069069
-0.185362;"HRV_17_DTS_1218";"HKE1718";1;1.77234078281906
-0.0147146666666667;"HRV_17_DTS_1840";"HKE1718";1;1.79023337451272
-0.575238666666667;"ITA_17_DTS_0612";"HKE1718";1;46.2725857638473
-0.471445333333333;"ITA_17_DTS_1218";"HKE1718";1;3.04293096220803
0.298312333333333;"ITA_17_DTS_1840";"HKE1718";1;3.6825383438165
-0.609989;"ITA_17_PGP_0012";"HKE1718";1;51.678408506037
-0.602845666666667;"ITA_18_DTS_0612";"HKE1718";1;22.3227297384071
0.026921;"ITA_18_DTS_1218_OTB_DES";"HKE1718";1;3.31846438045187
-0.124930333333333;"ITA_18_DTS_1840_OTB_DES";"HKE1718";1;3.28871819534543
0.089376;"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";1;3.02907447312557
0.009359;"ITA_18_HOK_1218";"HKE1718";1;3.64658615836912
-1.285389;"ITA_18_PGP_0012";"HKE1718";1;25.1861919636208
-0.071326;"SVN_17_DTS_1218";"HKE1718";1;4.05968190874206
-0.115575;"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";1;5.56660627006874
