"epsilon";"FS";"SPECIES";"MODEL";"RMSE"
-0.155833333333333;"HRV_17_DFN_0612";"HKE1718";2;1.50903716372437
0.0249;"HRV_17_DTS_0612";"HKE1718";2;1.75775873306723
-0.1883;"HRV_17_DTS_1218";"HKE1718";2;1.76634652356314
NA;"HRV_17_DTS_1840";"HKE1718";2;1.78314839219782
-0.513333333333333;"ITA_17_DTS_0612";"HKE1718";2;53.1847661886953
-0.482166666666667;"ITA_17_DTS_1218";"HKE1718";2;3.04727754175605
0.338133333333333;"ITA_17_DTS_1840";"HKE1718";2;3.67633068567316
-0.662366666666667;"ITA_17_PGP_0012";"HKE1718";2;72.1884136501972
-0.679266666666667;"ITA_18_DTS_0612";"HKE1718";2;18.9883784897249
-0.0545666666666667;"ITA_18_DTS_1218_OTB_DES";"HKE1718";2;3.2453672685245
-0.182133333333333;"ITA_18_DTS_1840_OTB_DES";"HKE1718";2;3.28247057793048
0.1862;"ITA_18_DTS_1840_OTB_DWS_MDD";"HKE1718";2;3.13884406277547
-0.0576;"ITA_18_HOK_1218";"HKE1718";2;3.7060634051485
-1.21346666666667;"ITA_18_PGP_0012";"HKE1718";2;32.9128580988071
-0.0873666666666667;"SVN_17_DTS_1218";"HKE1718";2;4.16762804442384
-0.144066666666667;"ITA_18_DTS_1218_OTB_DWS_MDD";"HKE1718";2;4.28315083875766
